ID,age,condition,power_1,power_2
29,12,control,-7053.632374,8576.222561
33,12,control,6120.11362,-20735.11945
35,12,control,90658.18844,31653.54564
41,12,control,6646.922134,-2714.985762
50,12,control,-21776.67066,-20265.23209
55,12,control,-874.587922,60276.99836
57,12,control,-9185.177113,-11287.2486
58,12,control,-11390.70662,151114.1706
59,12,control,15560.47026,-6354.152243
67,12,control,-3042.740387,-7206.070754
69,12,control,-33103.4731,-17767.30102
71,12,control,8970.906382,39049.3366
73,12,control,-16795.83155,-15740.64452
80,12,control,-2778.73116,-13889.4388
82,12,control,-8044.553126,-7710.934784
