ID,age,condition,amplitude,freq
35,12,music,52225.33421,2.25
41,12,music,35237.34612,2.25
50,12,music,-18380.43026,2.25
55,12,music,-7980.108395,2.25
57,12,music,29193.43706,2.25
58,12,music,24954.89412,2.25
59,12,music,21761.91006,2.25
67,12,music,-13367.37386,2.25
69,12,music,-16195.87153,2.25
71,12,music,-11475.61587,2.25
73,12,music,63877.77488,2.25
80,12,music,91617.82361,2.25
82,12,music,12609.2209,2.25
13,3,music,27227.03449,3.5
19,3,music,-4602.221986,3.5
23,3,music,-7204.043191,3.5
30,3,music,2337.561492,3.5
31,3,music,-15970.51242,3.5
36,3,music,-5575.620568,3.5
37,3,music,5567.711445,3.5
39,3,music,75864.4243,3.5
43,3,music,1497.502265,3.5
45,3,music,1015.607747,3.5
46,3,music,22671.42988,3.5
48,3,music,-7137.674991,3.5
54,3,music,-28034.35935,3.5
60,3,music,-5997.683924,3.5
61,3,music,-13211.25759,3.5
62,3,music,-4250.636826,3.5
63,3,music,10052.10557,3.5
64,3,music,-2802.796849,3.5
65,3,music,-9917.495419,3.5
66,3,music,5039.897207,3.5
68,3,music,-1182.31417,3.5
72,3,music,-3646.539749,3.5
74,3,music,-20740.93095,3.5
75,3,music,-12346.33087,3.5
76,3,music,7984.244458,3.5
77,3,music,-10132.30715,3.5
4,6,music,10083.9818,3.5
9,6,music,-19542.55535,3.5
11,6,music,27314.66052,3.5
34,6,music,-20352.97947,3.5
38,6,music,15517.32739,3.5
40,6,music,-12734.6795,3.5
47,6,music,3881.925763,3.5
49,6,music,-6677.577331,3.5
52,6,music,-24371.45242,3.5
78,6,music,-7110.433766,3.5
79,6,music,752.8973524,3.5
81,6,music,-6924.56161,3.5
83,6,music,17302.27714,3.5
84,6,music,2839.12378,3.5
85,6,music,1428.866643,3.5
86,6,music,-54414.44199,3.5
87,6,music,11242.32113,3.5
89,6,music,-3378.761277,3.5
90,6,music,5837.949965,3.5
91,6,music,16624.53242,3.5
92,6,music,-16320.79962,3.5
93,6,music,-12955.69799,3.5
94,6,music,-16079.49841,3.5
95,6,music,-4731.951072,3.5
96,6,music,-3025.64136,3.5
97,6,music,-11463.15491,3.5
1,12,music,32934.42391,3.5
6,12,music,-27268.40198,3.5
7,12,music,-9391.460526,3.5
10,12,music,-18627.83226,3.5
12,12,music,-22435.75802,3.5
15,12,music,29897.93172,3.5
16,12,music,8208.239188,3.5
18,12,music,-16959.97341,3.5
22,12,music,57882.30212,3.5
24,12,music,6011.359211,3.5
26,12,music,-38382.26662,3.5
27,12,music,4588.81477,3.5
28,12,music,-15116.79754,3.5
29,12,music,-3352.093779,3.5
33,12,music,-5981.238568,3.5
35,12,music,-242.2447663,3.5
41,12,music,-12664.26074,3.5
50,12,music,-5125.620676,3.5
55,12,music,-6881.73385,3.5
57,12,music,1792.884169,3.5
58,12,music,-723.179289,3.5
59,12,music,18418.99847,3.5
67,12,music,-1199.197115,3.5
69,12,music,23902.9639,3.5
71,12,music,36081.18478,3.5
73,12,music,4827.575534,3.5
80,12,music,-1905.842896,3.5
82,12,music,-25650.68079,3.5
13,3,control,6057.537111,2.25
19,3,control,1612.798247,2.25
23,3,control,-27595.49906,2.25
30,3,control,-8394.968213,2.25
31,3,control,1894.789087,2.25
36,3,control,-18412.17497,2.25
37,3,control,-4941.078176,2.25
39,3,control,59310.45966,2.25
43,3,control,-16511.2188,2.25
45,3,control,68823.10639,2.25
46,3,control,7286.456116,2.25
48,3,control,-21591.19416,2.25
54,3,control,-8654.364246,2.25
60,3,control,-13994.19232,2.25
61,3,control,31275.21973,2.25
62,3,control,-2806.979885,2.25
63,3,control,7955.797151,2.25
64,3,control,-17950.51875,2.25
65,3,control,-6595.099848,2.25
66,3,control,-28181.59101,2.25
68,3,control,-8016.376085,2.25
72,3,control,3188.85013,2.25
74,3,control,-28682.42376,2.25
75,3,control,-10601.49684,2.25
76,3,control,10094.06885,2.25
77,3,control,-15165.54197,2.25
4,6,control,35526.99197,2.25
9,6,control,2086.492926,2.25
11,6,control,7889.767595,2.25
34,6,control,-55253.53409,2.25
38,6,control,32807.54514,2.25
40,6,control,-17764.41848,2.25
47,6,control,-10050.94389,2.25
49,6,control,88626.16827,2.25
52,6,control,11344.43948,2.25
78,6,control,14821.33742,2.25
79,6,control,28653.00723,2.25
81,6,control,12391.0752,2.25
83,6,control,-144.5685538,2.25
84,6,control,5950.212823,2.25
85,6,control,-15800.12894,2.25
86,6,control,59836.81336,2.25
87,6,control,43157.73203,2.25
89,6,control,51545.51127,2.25
90,6,control,-16533.01859,2.25
91,6,control,13520.59378,2.25
92,6,control,93403.41074,2.25
93,6,control,25212.94955,2.25
94,6,control,-10755.03452,2.25
95,6,control,99449.38236,2.25
96,6,control,16560.37313,2.25
97,6,control,-28719.90345,2.25
1,12,control,-9282.966598,2.25
6,12,control,7436.410401,2.25
7,12,control,-9800.74471,2.25
10,12,control,-25528.49839,2.25
12,12,control,-16368.62015,2.25
15,12,control,-5707.746267,2.25
16,12,control,-32994.33283,2.25
18,12,control,32063.6958,2.25
22,12,control,17376.25562,2.25
24,12,control,-7045.608581,2.25
26,12,control,-28490.76642,2.25
27,12,control,-12042.72671,2.25
28,12,control,-23968.43997,2.25
29,12,control,18698.00167,2.25
33,12,control,-29563.1258,2.25
35,12,control,-15690.18869,2.25
41,12,control,26669.65054,2.25
50,12,control,-15092.13724,2.25
55,12,control,-6073.883056,2.25
57,12,control,-32082.48961,2.25
58,12,control,12748.6361,2.25
59,12,control,-16419.35889,2.25
67,12,control,-10045.27841,2.25
69,12,control,-17326.46285,2.25
71,12,control,18202.87842,2.25
73,12,control,-15767.1534,2.25
80,12,control,-2918.453916,2.25
82,12,control,-38110.41374,2.25
13,3,control,-43951.57856,3.5
19,3,control,3480.677455,3.5
23,3,control,-29395.90784,3.5
30,3,control,8005.900902,3.5
31,3,control,18358.69732,3.5
36,3,control,-11987.58384,3.5
37,3,control,-5598.220107,3.5
39,3,control,14473.66841,3.5
43,3,control,-10367.19742,3.5
45,3,control,-21843.89536,3.5
46,3,control,-15701.12643,3.5
48,3,control,-3194.833414,3.5
54,3,control,2542.424781,3.5
60,3,control,-13090.32501,3.5
61,3,control,-5181.259037,3.5
62,3,control,296.241522,3.5
63,3,control,-7250.429791,3.5
64,3,control,-6702.762579,3.5
65,3,control,-1356.30351,3.5
66,3,control,22573.0265,3.5
68,3,control,-5575.784406,3.5
72,3,control,-10914.19013,3.5
74,3,control,70311.17799,3.5
75,3,control,-13244.60677,3.5
76,3,control,-1668.599647,3.5
77,3,control,-10493.98802,3.5
4,6,control,1448.530942,3.5
9,6,control,20712.27748,3.5
11,6,control,-17965.76202,3.5
34,6,control,-25777.55907,3.5
38,6,control,-16131.49106,3.5
40,6,control,-6072.272033,3.5
47,6,control,46992.66554,3.5
49,6,control,30786.97611,3.5
52,6,control,-19469.49715,3.5
78,6,control,-37455.22354,3.5
79,6,control,32748.79473,3.5
81,6,control,-11102.39933,3.5
83,6,control,-7746.567869,3.5
84,6,control,-48254.12631,3.5
85,6,control,-1562.914733,3.5
86,6,control,12909.95732,3.5
87,6,control,13580.85242,3.5
89,6,control,25199.3094,3.5
90,6,control,10200.39201,3.5
91,6,control,10696.72431,3.5
92,6,control,-15783.64577,3.5
93,6,control,-10792.41424,3.5
94,6,control,2610.355296,3.5
95,6,control,9565.425527,3.5
96,6,control,-8381.078061,3.5
97,6,control,6906.828797,3.5
1,12,control,62316.46395,3.5
6,12,control,-14585.88508,3.5
7,12,control,-13560.74062,3.5
10,12,control,-20355.33237,3.5
12,12,control,-23782.42457,3.5
15,12,control,14493.63969,3.5
16,12,control,-23869.63576,3.5
18,12,control,21310.99306,3.5
22,12,control,-696.5557655,3.5
24,12,control,-2163.530602,3.5
26,12,control,9366.989295,3.5
27,12,control,-22742.36131,3.5
28,12,control,63616.48382,3.5
29,12,control,-13554.41674,3.5
